DanhMuc,CauHoi,CauTraLoi
Học bổng,Thủ khoa đầu vào được cấp học bổng gì,Học bổng toàn phần (100% học phí) 1 năm học theo khung chương trình đào tạo tiêu chuẩn
,Học bổng dành cho thủ khoa trị giá bao nhiêu,Học bổng toàn phần (100% học phí) 1 năm học theo khung chương trình đào tạo tiêu chuẩn
,Sinh viên có học lực loại giỏi được học bổng gì không,"Sinh viên học lực loại giỏi với điểm rèn luyện xuất sắc sẽ được cấp học bổng 12 triệu đồng/ năm học, điểm rèn luyện tốt được cấp học bổng 10 triệu đồng/ năm học"
,Học bổng dành cho sinh viên đạt loại giỏi,"Sinh viên học lực loại giỏi với điểm rèn luyện xuất sắc sẽ được cấp học bổng 12 triệu đồng/ năm học, điểm rèn luyện tốt được cấp học bổng 10 triệu đồng/ năm học"
,Sinh viên học lực xuất sắc được học bổng bao nhiêu,"Sinh viên học lực loại xuất sắc với điểm rèn luyện xuất sắc sẽ được cấp học bổng 20 triệu đồng/ năm học, điểm rèn luyện tốt được cấp học bổng 15 triệu đồng/ năm học"
,Học bổng dành cho sinh viên đạt loại xuất sắc,"Sinh viên học lực loại xuất sắc với điểm rèn luyện xuất sắc sẽ được cấp học bổng 20 triệu đồng/ năm học, điểm rèn luyện tốt được cấp học bổng 15 triệu đồng/ năm học"
,Điều kiện để lấy được học bổng,"Số tín chỉ tích lũy ngành chính tính đến thời điểm xét phải lớn hơn hoặc bằng số tín chỉ điều kiện; không có môn học nào mà sinh viên có học thuộc ngành chính đạt dưới 5,0; sinh viên không vi phạm nội qui, qui định của Nhà trường trong năm học được xét; những môn học có điểm miễn (M), điểm rút (R), điểm hoãn (H), điểm chưa hoàn thành (P) thì vẫn được tham gia dự xét học bổng; Riêng đối với sinh viên năm nhất thì đến thời điểm xét, sinh viên phải hoàn tất học phần tiếng Anh ngoài chương trình đào tạo"
,Cách để lấy được học bổng,"Số tín chỉ tích lũy ngành chính tính đến thời điểm xét phải lớn hơn hoặc bằng số tín chỉ điều kiện; không có môn học nào mà sinh viên có học thuộc ngành chính đạt dưới 5,0; sinh viên không vi phạm nội qui, qui định của Nhà trường trong năm học được xét; những môn học có điểm miễn (M), điểm rút (R), điểm hoãn (H), điểm chưa hoàn thành (P) thì vẫn được tham gia dự xét học bổng; Riêng đối với sinh viên năm nhất thì đến thời điểm xét, sinh viên phải hoàn tất học phần tiếng Anh ngoài chương trình đào tạo"
,How to lấy được học bổng,"Số tín chỉ tích lũy ngành chính tính đến thời điểm xét phải lớn hơn hoặc bằng số tín chỉ điều kiện; không có môn học nào mà sinh viên có học thuộc ngành chính đạt dưới 5,0; sinh viên không vi phạm nội qui, qui định của Nhà trường trong năm học được xét; những môn học có điểm miễn (M), điểm rút (R), điểm hoãn (H), điểm chưa hoàn thành (P) thì vẫn được tham gia dự xét học bổng; Riêng đối với sinh viên năm nhất thì đến thời điểm xét, sinh viên phải hoàn tất học phần tiếng Anh ngoài chương trình đào tạo"
,"Mức cấp học bổng dành cho con, anh/chị em Ruột của cán bộ công đoàn","Cấp học bổng 10.000.000 đồng/sinh viên/toàn khóa học trong đó chia ra: học phí 6.000.000 đồng/sinh viên; phí Ký túc xá được khấu trừ mỗi tháng 100.000 đồng/sinh viên trong suốt thời gian cư ngụ học tập. Sinh viên không nội trú Ký túc xá của Trường, sẽ không được hưởng khoản tài trợ này."
,anh chị em ruột cán bộ đoàn được học bổng bao nhiêu,"Cấp học bổng 10.000.000 đồng/sinh viên/toàn khóa học trong đó chia ra: học phí 6.000.000 đồng/sinh viên; phí Ký túc xá được khấu trừ mỗi tháng 100.000 đồng/sinh viên trong suốt thời gian cư ngụ học tập. Sinh viên không nội trú Ký túc xá của Trường, sẽ không được hưởng khoản tài trợ này."
,Mức cấp học bổng dành cho anh/chị em ruột học tại Trường,Cấp học bổng 15% học phí theo khung chương trình đào tạo tiêu chuẩn/người học thứ hai (trở đi)/năm học
,anh chị em ruột được cấp học bổng bao nhiêu,Cấp học bổng 15% học phí theo khung chương trình đào tạo tiêu chuẩn/người học thứ hai (trở đi)/năm học
Điểm rèn luyện,Sinh viên không vi phạm nội quy được nhiêu điểm rèn luyện,Cộng 20 điểm rèn luyện
,Sinh viên bị nhắc nhở trừ nhiêu điểm rèn luyện,Trừ 5 điểm rèn luyện
,Nhắc nhở trừ nhiêu điểm rèn luyện,Trừ 5 điểm rèn luyện
,Bị nhắc nhở trừ nhiêu điểm rèn luyện,Trừ 5 điểm rèn luyện
,Sinh viên bị phê bình trừ nhiêu điểm rèn luyện,Trừ 7 điểm rèn luyện
,Phê bình trừ nhiêu điểm rèn luyện,Trừ 7 điểm rèn luyện
,Bị phê bình trừ nhiêu điểm rèn luyện,Trừ 7 điểm rèn luyện
,Sinh viên bị nghiêm khắc phê bình trừ nhiêu điểm rèn luyện,Trừ 9 điểm rèn luyện
,Nghiêm khắc phê bình trừ nhiêu điểm rèn luyện,Trừ 9 điểm rèn luyện
,Sinh viên bị khiển trách trừ nhiêu điểm rèn luyện,Trừ 12 điểm rèn luyện
,Khiển trách trừ nhiêu điểm rèn luyện,Trừ 12 điểm rèn luyện
,Sinh viên bị cảnh cáo trừ nhiêu điểm rèn luyện,Trừ 15 điểm rèn luyện
,Cảnh cáo trừ nhiêu điểm rèn luyện,Trừ 15 điểm rèn luyện
,Sinh viên bị cảnh cáo lần 2 trừ nhiêu điểm rèn luyện,Trừ 20 điểm rèn luyện
,Cảnh cáo lần 2 trừ nhiêu điểm rèn luyện,Trừ 20 điểm rèn luyện
,Không tham gia hoạt động được phân công trừ nhiêu điểm rèn luyện,Trừ 5 điểm rèn luyện
,Quên tham gia hoạt động được phân công trừ nhiêu điểm rèn luyện,Trừ 5 điểm rèn luyện
Vi phạm,"Vô lễ, xúc phạm nhân phẩm, danh dự, xâm phạm thân thể thầy cô giáo, cán bộ nhà trường bị gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,"Vô lễ, xúc phạm nhân phẩm, danh dự, xâm phạm thân thể thầy cô giáo, cán bộ nhà trường bị xử lý sao","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,Vô lễ bị xử lý gì,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,"Xúc phạm nhân phẩm, danh dự thầy cô bị gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,"Xúc phạm nhân phẩm, danh dự thầy cô bị xử lý gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,Không chào hỏi người lớn trong Trường bị gì,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,Không chào hỏi người lớn trong Trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,Không chào hỏi người lớn trong Trường bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,Không chào hỏi người lớn trong Trường bị giám thị bắt thì bị xử lý sao,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,"Tặng quà cho giảng viên, viên chức bị xử lý gì","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,"Tặng quà cho giảng viên, viên chức bị xử lý sao","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Tặng tiền cho giảng viên bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Tặng tiền cho giảng viên bị xử lý sao,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Tặng phẩm vật cho giảng viên bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Tặng phẩm vật cho giảng viên bị xử lý sao,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,"Lên facebook viết xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên facebook viết xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên facebook viết xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên facebook viết xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,"Lên facebook viết status xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì ","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên facebook viết status xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên facebook viết status xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên facebook viết status xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,"Sử dụng Internet vào mạng xã hội viết những điều không đúng hoặc nội dung xuyên tạc gây ảnh hưởng đến uy tín nhà trường, thầy cô mà không có căn cứ, minh chứng rõ ràng hoặc có minh chứng nhưng sử dụng từ ngữ vô lễ, không đúng mực về Nhà trường, thày/cô ","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,"Lên mạng xã hội viết xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên mạng xã hội viết xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên mạng xã hội viết xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên mạng xã hội viết xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
